Student_ID,Study_Hours,Attendance,Previous_Marks,Assignments_Completed,Final_Marks
S001,2.5,72,55,4,52
S002,3.0,78,60,5,58
S003,4.5,85,70,7,72
S004,5.0,88,75,8,78
S005,1.5,65,50,3,45
S006,6.0,92,82,9,86
S007,3.5,80,65,6,68
S008,4.0,83,68,6,71
S009,2.0,70,52,4,53
S010,5.5,90,78,8,82
S011,6.5,94,85,10,90
S012,3.2,79,63,5,64
S013,4.8,87,72,7,75
S014,2.8,74,58,4,57
S015,5.2,89,76,8,80
S016,1.8,68,48,3,47
S017,6.2,93,84,9,88
S018,3.8,82,67,6,69
S019,4.3,84,70,7,73
S020,2.2,71,54,4,54
S021,5.8,91,80,9,84
S022,3.6,81,66,6,68
S023,4.7,86,73,7,76
S024,2.6,73,56,4,55
S025,5.3,89,77,8,81
S026,1.9,69,49,3,48
S027,6.4,95,86,10,91
S028,3.9,83,68,6,70
S029,4.4,85,71,7,74
S030,2.4,72,55,4,53
S031,5.6,90,79,8,83
S032,3.3,80,64,5,65
S033,4.9,87,74,7,77
S034,2.9,75,59,4,58
S035,5.1,88,75,8,79
S036,1.7,67,47,3,46
S037,6.1,92,83,9,87
S038,3.7,82,66,6,68
S039,4.2,84,69,6,72
S040,2.3,71,53,4,54
S041,5.7,91,81,9,85
S042,3.4,81,65,6,67
S043,4.6,86,72,7,75
S044,2.7,74,57,4,56
S045,5.4,89,78,8,82
S046,1.6,66,46,3,45
S047,6.3,94,85,10,90
S048,3.1,79,62,5,63
S049,4.1,84,69,6,71
S050,2.1,70,51,4,52
S051,5.9,92,82,9,86
S052,3.5,81,66,6,68
S053,4.8,87,73,7,76
S054,2.8,75,58,4,57
S055,5.2,88,76,8,80
S056,1.8,68,48,3,47
S057,6.0,93,84,9,88
S058,3.8,83,67,6,69
S059,4.5,85,71,7,74
S060,2.5,72,55,4,53
S061,5.5,90,79,8,83
S062,3.2,80,63,5,64
S063,4.7,86,73,7,76
S064,2.9,74,59,4,58
S065,5.0,88,75,8,79
S066,1.5,65,45,3,44
S067,6.2,94,85,10,90
S068,3.6,82,66,6,68
S069,4.3,84,70,7,73
S070,2.2,71,53,4,54
S071,5.8,91,80,9,84
S072,3.9,83,68,6,70
S073,4.6,86,72,7,75
S074,2.6,73,56,4,55
S075,5.3,89,77,8,81
S076,1.9,69,50,3,49
S077,6.4,95,86,10,91
S078,3.3,80,64,5,65
S079,4.4,85,71,7,74
S080,2.4,72,55,4,53
S081,5.6,90,79,8,83
S082,3.7,82,67,6,69
S083,4.9,87,74,7,77
S084,2.7,74,57,4,56
S085,5.1,88,76,8,80
S086,1.7,67,47,3,46
S087,6.1,93,83,9,87
S088,3.4,81,65,6,67
S089,4.2,84,70,7,73
S090,2.3,71,54,4,54
S091,5.7,91,81,9,85
S092,3.5,81,66,6,68
S093,4.8,87,73,7,76
S094,2.8,75,58,4,57
S095,5.4,89,78,8,82
S096,1.6,66,46,3,45
S097,6.3,94,85,10,90
S098,3.1,79,62,5,63
S099,4.1,84,69,6,71
S100,2.0,70,51,4,52
